"No.","Time","Source","Destination","Protocol","Length","Info"
"40","53.117998","192.168.199.254","192.168.199.133","DHCP","342","DHCP ACK      - Transaction ID 0x53cafc35"
"41","53.214359","fe80::65b5:3a97:92d1:9199","ff02::1:3","LLMNR","95","Standard query 0x58c4 ANY DESKTOP-V1FA0UQ"
"42","53.214614","192.168.199.133","224.0.0.252","LLMNR","75","Standard query 0x58c4 ANY DESKTOP-V1FA0UQ"
"43","53.245458","fe80::65b5:3a97:92d1:9199","ff02::1:2","DHCPv6","157","Solicit XID: 0x98cc21 CID: 000100011f0c78b5000c2961f55f "
"44","53.289948","VMware_61:f5:5f","Broadcast","ARP","42","Who has 192.168.199.133? (ARP Probe)"
"45","53.290018","192.168.199.133","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"46","53.290091","fe80::65b5:3a97:92d1:9199","ff02::1","ICMPv6","86","Neighbor Advertisement fe80::65b5:3a97:92d1:9199 (ovr) is at 00:0c:29:61:f5:5f"
"47","53.290182","fe80::65b5:3a97:92d1:9199","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"48","53.545367","VMware_61:f5:5f","Broadcast","ARP","42","Who has 192.168.199.1? Tell 192.168.199.133"
"49","53.545385","VMware_c0:00:01","VMware_61:f5:5f","ARP","42","192.168.199.1 is at 00:50:56:c0:00:01"
"50","53.545461","192.168.199.133","192.168.199.1","DNS","76","Standard query 0xe38a A wpad.localdomain"
"51","53.653744","fe80::65b5:3a97:92d1:9199","ff02::1:3","LLMNR","95","Standard query 0x58c4 ANY DESKTOP-V1FA0UQ"
"52","53.655031","192.168.199.133","224.0.0.252","LLMNR","75","Standard query 0x58c4 ANY DESKTOP-V1FA0UQ"
"53","53.758725","192.168.199.133","192.168.199.255","NBNS","110","Registration NB WORKGROUP<00>"
"54","53.758838","192.168.199.133","192.168.199.255","NBNS","110","Registration NB DESKTOP-V1FA0UQ<00>"
"55","54.074936","fe80::65b5:3a97:92d1:9199","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"56","54.075096","192.168.199.133","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"57","54.075310","fe80::65b5:3a97:92d1:9199","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"58","54.075934","192.168.199.133","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"59","54.076956","fe80::65b5:3a97:92d1:9199","ff02::1:3","LLMNR","95","Standard query 0x5a2c ANY DESKTOP-V1FA0UQ"
"60","54.077128","192.168.199.133","224.0.0.252","LLMNR","75","Standard query 0x5a2c ANY DESKTOP-V1FA0UQ"
"61","54.281278","fe80::65b5:3a97:92d1:9199","ff02::1:2","DHCPv6","157","Solicit XID: 0x98cc21 CID: 000100011f0c78b5000c2961f55f "
"62","54.289820","VMware_61:f5:5f","Broadcast","ARP","42","Who has 192.168.199.133? (ARP Probe)"
"63","54.289891","192.168.199.133","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"64","54.289950","fe80::65b5:3a97:92d1:9199","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"65","54.490353","192.168.199.133","192.168.199.255","NBNS","110","Registration NB DESKTOP-V1FA0UQ<20>"
"66","54.500597","fe80::65b5:3a97:92d1:9199","ff02::1:3","LLMNR","95","Standard query 0x5a2c ANY DESKTOP-V1FA0UQ"
"67","54.501400","192.168.199.133","224.0.0.252","LLMNR","75","Standard query 0x5a2c ANY DESKTOP-V1FA0UQ"
"68","54.524439","192.168.199.133","192.168.199.255","NBNS","110","Registration NB DESKTOP-V1FA0UQ<00>"
"69","54.524572","192.168.199.133","192.168.199.255","NBNS","110","Registration NB WORKGROUP<00>"
"70","54.592022","192.168.199.133","192.168.199.1","DNS","76","Standard query 0xe38a A wpad.localdomain"
"71","55.243001","192.168.199.133","192.168.199.255","NBNS","110","Registration NB DESKTOP-V1FA0UQ<20>"
"72","55.289869","VMware_61:f5:5f","Broadcast","ARP","42","ARP Announcement for 192.168.199.133"
"73","55.710307","192.168.199.133","192.168.199.1","DNS","102","Standard query 0x595f SRV _ldap._tcp.dc._msdcs.WORKGROUP.localdomain"
"74","55.993388","192.168.199.133","192.168.199.255","NBNS","110","Registration NB DESKTOP-V1FA0UQ<20>"
"75","56.290552","fe80::65b5:3a97:92d1:9199","ff02::2","ICMPv6","70","Router Solicitation from 00:0c:29:61:f5:5f"
"76","56.327596","fe80::65b5:3a97:92d1:9199","ff02::1:2","DHCPv6","157","Solicit XID: 0x98cc21 CID: 000100011f0c78b5000c2961f55f "
"77","56.603617","192.168.199.133","192.168.199.1","DNS","76","Standard query 0xe38a A wpad.localdomain"
"78","56.749725","192.168.199.133","192.168.199.1","DNS","102","Standard query 0x595f SRV _ldap._tcp.dc._msdcs.WORKGROUP.localdomain"
"79","56.758542","192.168.199.133","192.168.199.255","NBNS","110","Registration NB DESKTOP-V1FA0UQ<20>"
"80","57.450251","192.168.199.133","192.168.199.1","DNS","78","Standard query 0x62b4 A isatap.localdomain"
"81","58.500736","192.168.199.133","192.168.199.1","DNS","78","Standard query 0x62b4 A isatap.localdomain"
"82","58.761598","192.168.199.133","192.168.199.1","DNS","102","Standard query 0x595f SRV _ldap._tcp.dc._msdcs.WORKGROUP.localdomain"
"83","59.260492","192.168.199.133","192.168.199.255","NBNS","110","Registration NB WORKGROUP<1e>"
"84","59.493922","192.168.199.133","192.168.199.1","DNS","78","Standard query 0x62b4 A isatap.localdomain"
"85","60.009497","192.168.199.133","192.168.199.255","NBNS","110","Registration NB WORKGROUP<1e>"
"86","60.289755","fe80::65b5:3a97:92d1:9199","ff02::2","ICMPv6","70","Router Solicitation from 00:0c:29:61:f5:5f"
"87","60.339136","fe80::65b5:3a97:92d1:9199","ff02::1:2","DHCPv6","157","Solicit XID: 0x98cc21 CID: 000100011f0c78b5000c2961f55f "
"88","60.589881","192.168.199.133","192.168.199.255","BROWSER","243","Host Announcement DESKTOP-V1FA0UQ, Workstation, Server, NT Workstation"
"89","60.700640","192.168.199.133","192.168.199.255","NBNS","92","Name query NB WPAD<00>"
"90","60.700984","fe80::65b5:3a97:92d1:9199","ff02::1:3","LLMNR","84","Standard query 0x7991 A wpad"
"91","60.701139","192.168.199.133","224.0.0.252","LLMNR","64","Standard query 0x7991 A wpad"
"92","60.701360","fe80::65b5:3a97:92d1:9199","ff02::1:3","LLMNR","84","Standard query 0xa726 AAAA wpad"
"93","60.701495","192.168.199.133","224.0.0.252","LLMNR","64","Standard query 0xa726 AAAA wpad"
"94","60.748741","192.168.199.133","192.168.199.1","DNS","83","Standard query 0xdfe3 A localdomain.localdomain"
"95","60.775040","192.168.199.133","192.168.199.255","NBNS","110","Registration NB WORKGROUP<1e>"
"96","61.137610","fe80::65b5:3a97:92d1:9199","ff02::1:3","LLMNR","84","Standard query 0xa726 AAAA wpad"
"97","61.138051","192.168.199.133","224.0.0.252","LLMNR","64","Standard query 0xa726 AAAA wpad"
"98","61.138337","fe80::65b5:3a97:92d1:9199","ff02::1:3","LLMNR","84","Standard query 0x7991 A wpad"
"99","61.138599","192.168.199.133","224.0.0.252","LLMNR","64","Standard query 0x7991 A wpad"
"100","61.446046","192.168.199.133","192.168.199.255","NBNS","92","Name query NB WPAD<00>"
"101","61.500080","192.168.199.133","192.168.199.1","DNS","78","Standard query 0x62b4 A isatap.localdomain"
"102","61.539775","192.168.199.133","192.168.199.255","NBNS","110","Registration NB WORKGROUP<1e>"
"103","61.850764","192.168.199.133","192.168.199.1","DNS","83","Standard query 0xdfe3 A localdomain.localdomain"
"104","62.196062","192.168.199.133","192.168.199.255","NBNS","92","Name query NB WPAD<00>"
"105","62.303191","192.168.199.133","192.168.199.255","BROWSER","228","Request Announcement DESKTOP-V1FA0UQ"
"106","62.306590","192.168.199.1","192.168.199.255","BROWSER","243","Local Master Announcement SCV, Workstation, Server, NT Workstation, Potential Browser, Master Browser"
"107","62.405212","192.168.199.133","192.168.199.255","BROWSER","243","Host Announcement DESKTOP-V1FA0UQ, Workstation, Server, NT Workstation, Potential Browser"
"108","62.772316","192.168.199.133","192.168.199.255","NBNS","92","Name query NB WORKGROUP<1c>"
"109","62.773149","192.168.199.133","192.168.199.1","DNS","83","Standard query 0x573e SRV localdomain.localdomain"
"110","63.524249","192.168.199.133","192.168.199.255","NBNS","92","Name query NB WORKGROUP<1c>"
"111","63.616848","192.168.199.133","192.168.199.1","DNS","93","Standard query 0x9761 A v10.vortex-win.data.microsoft.com"
"112","63.785332","192.168.199.133","192.168.199.1","DNS","83","Standard query 0x573e SRV localdomain.localdomain"
"113","63.854703","192.168.199.133","192.168.199.1","DNS","83","Standard query 0xdfe3 A localdomain.localdomain"
"114","64.274430","192.168.199.133","192.168.199.255","NBNS","92","Name query NB WORKGROUP<1c>"
"115","64.621569","192.168.199.133","192.168.199.1","DNS","93","Standard query 0x9761 A v10.vortex-win.data.microsoft.com"
"116","64.866863","fe80::65b5:3a97:92d1:9199","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"117","64.869599","192.168.199.133","224.0.0.22","IGMPv3","54","Membership Report / Join group 239.255.255.250 for any sources"
"118","64.902738","192.168.199.133","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"119","64.907870","192.168.199.133","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"120","65.072703","192.168.199.133","192.168.199.1","DNS","102","Standard query 0x36db SRV _ldap._tcp.dc._msdcs.WORKGROUP.localdomain"
"121","65.107844","192.168.199.133","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"122","65.289819","192.168.199.133","224.0.0.22","IGMPv3","54","Membership Report / Join group 239.255.255.250 for any sources"
"123","65.289916","fe80::65b5:3a97:92d1:9199","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"124","65.498278","192.168.199.133","192.168.199.1","DNS","72","Standard query 0xd67b A www.bing.com"
"125","65.515702","192.168.199.133","192.168.199.1","DNS","78","Standard query 0x62b4 A isatap.localdomain"
"126","65.628442","192.168.199.133","192.168.199.1","DNS","93","Standard query 0x9761 A v10.vortex-win.data.microsoft.com"
"127","65.701396","192.168.199.133","192.168.199.1","DNS","84","Standard query 0x153d A sls.update.microsoft.com"
"128","65.722276","fe80::78da:c04d:12da:8a08","ff02::1:2","DHCPv6","145","Solicit XID: 0xca8e45 CID: 0001000118659849b888e3ab8379 "
"129","65.789051","192.168.199.133","192.168.199.1","DNS","83","Standard query 0x573e SRV localdomain.localdomain"
"130","66.086513","192.168.199.133","192.168.199.1","DNS","102","Standard query 0x36db SRV _ldap._tcp.dc._msdcs.WORKGROUP.localdomain"
"131","66.508827","192.168.199.133","192.168.199.1","DNS","72","Standard query 0xd67b A www.bing.com"
"132","66.791348","192.168.199.133","192.168.199.1","DNS","84","Standard query 0x153d A sls.update.microsoft.com"
"133","67.506752","192.168.199.133","192.168.199.1","DNS","72","Standard query 0xd67b A www.bing.com"
"134","67.631791","192.168.199.133","192.168.199.1","DNS","93","Standard query 0x9761 A v10.vortex-win.data.microsoft.com"
"135","67.788387","192.168.199.133","192.168.199.1","DNS","84","Standard query 0x153d A sls.update.microsoft.com"
"136","67.867388","192.168.199.133","192.168.199.1","DNS","83","Standard query 0x6c97 A localdomain.localdomain"
"137","67.913132","192.168.199.133","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"138","67.913352","192.168.199.133","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"139","68.086276","192.168.199.133","192.168.199.1","DNS","102","Standard query 0x36db SRV _ldap._tcp.dc._msdcs.WORKGROUP.localdomain"
"140","68.116242","192.168.199.133","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"141","68.350693","fe80::65b5:3a97:92d1:9199","ff02::1:2","DHCPv6","157","Solicit XID: 0x98cc21 CID: 000100011f0c78b5000c2961f55f "
"142","68.881904","192.168.199.133","192.168.199.1","DNS","83","Standard query 0x6c97 A localdomain.localdomain"
"143","69.507000","192.168.199.133","192.168.199.1","DNS","72","Standard query 0xd67b A www.bing.com"
"144","69.789072","192.168.199.133","192.168.199.1","DNS","83","Standard query 0x4068 SRV localdomain.localdomain"
"145","69.804163","192.168.199.133","192.168.199.1","DNS","84","Standard query 0x153d A sls.update.microsoft.com"
"146","70.804051","192.168.199.133","192.168.199.1","DNS","83","Standard query 0x4068 SRV localdomain.localdomain"
"147","70.882363","192.168.199.133","192.168.199.1","DNS","83","Standard query 0x6c97 A localdomain.localdomain"
"148","70.928840","192.168.199.133","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"149","70.929017","192.168.199.133","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"150","71.631966","192.168.199.133","192.168.199.1","DNS","93","Standard query 0x9761 A v10.vortex-win.data.microsoft.com"
"151","72.101807","192.168.199.133","192.168.199.255","NBNS","92","Name query NB WORKGROUP<1c>"
"152","72.819728","192.168.199.133","192.168.199.1","DNS","83","Standard query 0x4068 SRV localdomain.localdomain"
"153","72.866560","192.168.199.133","192.168.199.255","NBNS","92","Name query NB WORKGROUP<1c>"
"154","73.507526","192.168.199.133","192.168.199.1","DNS","72","Standard query 0xd67b A www.bing.com"
"155","73.616656","192.168.199.133","192.168.199.255","NBNS","92","Name query NB WORKGROUP<1c>"
"156","73.819636","192.168.199.133","192.168.199.1","DNS","84","Standard query 0x153d A sls.update.microsoft.com"
"157","75.677777","192.168.199.133","192.168.199.1","DNS","93","Standard query 0x3ffe A v10.vortex-win.data.microsoft.com"
"158","76.679647","192.168.199.133","192.168.199.1","DNS","93","Standard query 0x3ffe A v10.vortex-win.data.microsoft.com"
"159","77.679187","192.168.199.133","192.168.199.1","DNS","93","Standard query 0x3ffe A v10.vortex-win.data.microsoft.com"
"160","78.447102","192.168.199.133","192.168.199.255","NBNS","92","Name query NB WPAD<00>"
"161","78.447398","fe80::65b5:3a97:92d1:9199","ff02::1:3","LLMNR","84","Standard query 0x84ec A wpad"
"162","78.447558","192.168.199.133","224.0.0.252","LLMNR","64","Standard query 0x84ec A wpad"
"163","78.447776","fe80::65b5:3a97:92d1:9199","ff02::1:3","LLMNR","84","Standard query 0x7c1b AAAA wpad"
"164","78.447908","192.168.199.133","224.0.0.252","LLMNR","64","Standard query 0x7c1b AAAA wpad"
"165","78.867048","fe80::65b5:3a97:92d1:9199","ff02::1:3","LLMNR","84","Standard query 0x7c1b AAAA wpad"
"166","78.867497","192.168.199.133","224.0.0.252","LLMNR","64","Standard query 0x7c1b AAAA wpad"
"167","78.868486","fe80::65b5:3a97:92d1:9199","ff02::1:3","LLMNR","84","Standard query 0x84ec A wpad"
"168","78.869161","192.168.199.133","224.0.0.252","LLMNR","64","Standard query 0x84ec A wpad"
"169","79.194409","192.168.199.133","192.168.199.255","NBNS","92","Name query NB WPAD<00>"
"170","79.695378","192.168.199.133","192.168.199.1","DNS","93","Standard query 0x3ffe A v10.vortex-win.data.microsoft.com"
"171","79.960209","192.168.199.133","192.168.199.255","NBNS","92","Name query NB WPAD<00>"
"172","80.287924","VMware_61:f5:5f","VMware_c0:00:01","ARP","42","Who has 192.168.199.1? Tell 192.168.199.133"
"173","80.287942","VMware_c0:00:01","VMware_61:f5:5f","ARP","42","192.168.199.1 is at 00:50:56:c0:00:01"
"174","83.710849","192.168.199.133","192.168.199.1","DNS","93","Standard query 0x3ffe A v10.vortex-win.data.microsoft.com"
"175","84.350784","fe80::65b5:3a97:92d1:9199","ff02::1:2","DHCPv6","157","Solicit XID: 0x98cc21 CID: 000100011f0c78b5000c2961f55f "
"176","86.676148","192.168.199.1","192.168.199.255","BROWSER","227","Become Backup Browser"
"177","86.679078","192.168.199.133","192.168.199.255","BROWSER","228","Request Announcement DESKTOP-V1FA0UQ"
"178","86.682293","192.168.199.1","192.168.199.255","BROWSER","243","Local Master Announcement SCV, Workstation, Server, NT Workstation, Potential Browser, Master Browser"
"179","86.701062","192.168.199.133","192.168.199.255","NBNS","92","Name query NB SCV<20>"
"180","86.701166","192.168.199.1","192.168.199.133","NBNS","110","Name query response NB 192.168.199.1"
"181","86.705183","fe80::65b5:3a97:92d1:9199","ff02::1:3","LLMNR","83","Standard query 0x9fa9 A SCV"
"182","86.705413","fe80::78da:c04d:12da:8a08","ff02::1:ffd1:9199","ICMPv6","86","Neighbor Solicitation for fe80::65b5:3a97:92d1:9199 from 00:50:56:c0:00:01"
"183","86.705458","192.168.199.133","224.0.0.252","LLMNR","63","Standard query 0x9fa9 A SCV"
"184","86.705581","192.168.199.1","192.168.199.133","LLMNR","82","Standard query response 0x9fa9 A SCV A 192.168.199.1"
"185","86.705619","fe80::65b5:3a97:92d1:9199","fe80::78da:c04d:12da:8a08","ICMPv6","86","Neighbor Advertisement fe80::65b5:3a97:92d1:9199 (sol, ovr) is at 00:0c:29:61:f5:5f"
"186","86.705634","fe80::78da:c04d:12da:8a08","fe80::65b5:3a97:92d1:9199","LLMNR","102","Standard query response 0x9fa9 A SCV A 192.168.199.1"
"187","86.706025","fe80::65b5:3a97:92d1:9199","ff02::1:3","LLMNR","83","Standard query 0x66e8 AAAA SCV"
"188","86.706137","fe80::78da:c04d:12da:8a08","fe80::65b5:3a97:92d1:9199","LLMNR","114","Standard query response 0x66e8 AAAA SCV AAAA fe80::78da:c04d:12da:8a08"
"189","86.706322","192.168.199.133","224.0.0.252","LLMNR","63","Standard query 0x66e8 AAAA SCV"
"190","86.706421","192.168.199.1","192.168.199.133","LLMNR","94","Standard query response 0x66e8 AAAA SCV AAAA fe80::78da:c04d:12da:8a08"
"191","86.712751","192.168.199.133","192.168.199.1","TCP","66","49671  >  139 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM"
"192","86.712843","192.168.199.1","192.168.199.133","TCP","66","139  >  49671 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM"
"193","86.712985","192.168.199.133","192.168.199.1","NBSS","126","Session request, to SCV<20> from DESKTOP-V1FA0UQ<00>"
"194","86.713088","192.168.199.1","192.168.199.133","NBSS","58","Positive session response"
"195","86.719232","192.168.199.133","192.168.199.1","SMB","213","Negotiate Protocol Request"
"196","86.721061","192.168.199.1","192.168.199.133","SMB2","506","Negotiate Protocol Response"
"197","86.722963","192.168.199.133","192.168.199.1","SMB2","232","Negotiate Protocol Request"
"198","86.724397","192.168.199.1","192.168.199.133","SMB2","506","Negotiate Protocol Response"
"199","86.724546","192.168.199.133","192.168.199.1","TCP","54","49671  >  139 [FIN, ACK] Seq=410 Ack=909 Win=64768 Len=0"
"200","86.724576","192.168.199.1","192.168.199.133","TCP","54","139  >  49671 [FIN, ACK] Seq=909 Ack=411 Win=65280 Len=0"
"201","86.724642","192.168.199.133","192.168.199.1","TCP","54","49671  >  139 [ACK] Seq=411 Ack=910 Win=64768 Len=0"
"202","86.726977","fe80::65b5:3a97:92d1:9199","ff02::1:3","LLMNR","83","Standard query 0x4156 A SCV"
"203","86.727171","fe80::78da:c04d:12da:8a08","fe80::65b5:3a97:92d1:9199","LLMNR","102","Standard query response 0x4156 A SCV A 192.168.199.1"
"204","86.727414","192.168.199.133","224.0.0.252","LLMNR","63","Standard query 0x4156 A SCV"
"205","86.727530","192.168.199.1","192.168.199.133","LLMNR","82","Standard query response 0x4156 A SCV A 192.168.199.1"
"206","86.727927","fe80::65b5:3a97:92d1:9199","ff02::1:3","LLMNR","83","Standard query 0x934f AAAA SCV"
"207","86.728031","fe80::78da:c04d:12da:8a08","fe80::65b5:3a97:92d1:9199","LLMNR","114","Standard query response 0x934f AAAA SCV AAAA fe80::78da:c04d:12da:8a08"
"208","86.728593","192.168.199.133","224.0.0.252","LLMNR","63","Standard query 0x934f AAAA SCV"
"209","86.728689","192.168.199.1","192.168.199.133","LLMNR","94","Standard query response 0x934f AAAA SCV AAAA fe80::78da:c04d:12da:8a08"
"210","86.730318","fe80::65b5:3a97:92d1:9199","ff02::1:3","LLMNR","83","Standard query 0x153e A SCV"
"211","86.730430","fe80::78da:c04d:12da:8a08","fe80::65b5:3a97:92d1:9199","LLMNR","102","Standard query response 0x153e A SCV A 192.168.199.1"
"212","86.730705","192.168.199.133","224.0.0.252","LLMNR","63","Standard query 0x153e A SCV"
"213","86.730791","192.168.199.1","192.168.199.133","LLMNR","82","Standard query response 0x153e A SCV A 192.168.199.1"
"214","86.731270","fe80::65b5:3a97:92d1:9199","ff02::1:3","LLMNR","83","Standard query 0xed7c AAAA SCV"
"215","86.731349","fe80::78da:c04d:12da:8a08","fe80::65b5:3a97:92d1:9199","LLMNR","114","Standard query response 0xed7c AAAA SCV AAAA fe80::78da:c04d:12da:8a08"
"216","86.731542","192.168.199.133","224.0.0.252","LLMNR","63","Standard query 0xed7c AAAA SCV"
"217","86.731611","192.168.199.1","192.168.199.133","LLMNR","94","Standard query response 0xed7c AAAA SCV AAAA fe80::78da:c04d:12da:8a08"
"218","86.733864","fe80::65b5:3a97:92d1:9199","ff02::1:3","LLMNR","83","Standard query 0x8df8 A SCV"
"219","86.733964","fe80::78da:c04d:12da:8a08","fe80::65b5:3a97:92d1:9199","LLMNR","102","Standard query response 0x8df8 A SCV A 192.168.199.1"
"220","86.734263","192.168.199.133","224.0.0.252","LLMNR","63","Standard query 0x8df8 A SCV"
"221","86.734385","192.168.199.1","192.168.199.133","LLMNR","82","Standard query response 0x8df8 A SCV A 192.168.199.1"
"222","86.734826","fe80::65b5:3a97:92d1:9199","ff02::1:3","LLMNR","83","Standard query 0x465a AAAA SCV"
"223","86.734923","fe80::78da:c04d:12da:8a08","fe80::65b5:3a97:92d1:9199","LLMNR","114","Standard query response 0x465a AAAA SCV AAAA fe80::78da:c04d:12da:8a08"
"224","86.735652","192.168.199.133","224.0.0.252","LLMNR","63","Standard query 0x465a AAAA SCV"
"225","86.735732","192.168.199.1","192.168.199.133","LLMNR","94","Standard query response 0x465a AAAA SCV AAAA fe80::78da:c04d:12da:8a08"
"226","86.752263","fe80::65b5:3a97:92d1:9199","ff02::1:3","LLMNR","83","Standard query 0x93bb A SCV"
"227","86.752458","192.168.199.133","224.0.0.252","LLMNR","63","Standard query 0x93bb A SCV"
"228","86.752499","fe80::78da:c04d:12da:8a08","fe80::65b5:3a97:92d1:9199","LLMNR","102","Standard query response 0x93bb A SCV A 192.168.199.1"
"229","86.752578","192.168.199.1","192.168.199.133","LLMNR","82","Standard query response 0x93bb A SCV A 192.168.199.1"
"230","86.752793","fe80::65b5:3a97:92d1:9199","ff02::1:3","LLMNR","83","Standard query 0x1728 AAAA SCV"
"231","86.752921","192.168.199.133","224.0.0.252","LLMNR","63","Standard query 0x1728 AAAA SCV"
"232","86.752925","fe80::78da:c04d:12da:8a08","fe80::65b5:3a97:92d1:9199","LLMNR","114","Standard query response 0x1728 AAAA SCV AAAA fe80::78da:c04d:12da:8a08"
