No.,Time,Source,Destination,Protocol,Length,Info,Suspicious
25,27.850155,192.168.1.3,192.168.1.2,TCP,60,"1396  >  53 [PSH, ACK] Seq=1 Ack=89 Win=17336 Len=4 [TCP segment of a reassembled PDU]",1
26,27.867122,192.168.1.3,192.168.1.2,TCP,98,"[TCP Retransmission] 1396  >  53 [PSH, ACK] Seq=1 Ack=89 Win=17336 Len=4",0
27,27.885345,192.168.1.2,192.168.1.3,TCP,295,"53  >  1396 [PSH, ACK] Seq=89 Ack=5 Win=65531 Len=201 [TCP segment of a reassembled PDU]",1
28,27.886656,192.168.1.2,192.168.1.3,TCP,255,"[TCP Retransmission] 53  >  1396 [PSH, ACK] Seq=89 Ack=5 Win=65531 Len=201 [TCP segment of a reassembled PDU]",1
29,28.001642,192.168.1.3,192.168.1.2,TCP,60,1396  >  53 [ACK] Seq=5 Ack=290 Win=17135 Len=0,0
30,28.018045,192.168.1.3,192.168.1.2,TCP,94,[TCP Dup ACK 29#1] 1396  >  53 [ACK] Seq=5 Ack=290 Win=17135 Len=0,0
31,28.021399,192.168.1.2,192.168.1.3,TCP,1105,"53  >  1396 [PSH, ACK] Seq=290 Ack=5 Win=65531 Len=1011 [TCP segment of a reassembled PDU]",1
32,28.024157,192.168.1.2,192.168.1.3,TCP,1065,"[TCP Retransmission] 53  >  1396 [PSH, ACK] Seq=290 Ack=5 Win=65531 Len=1011 [TCP segment of a reassembled PDU]",1
33,28.201948,192.168.1.3,192.168.1.2,TCP,60,1396  >  53 [ACK] Seq=5 Ack=1301 Win=16124 Len=0,0
34,28.218544,192.168.1.3,192.168.1.2,TCP,94,[TCP Dup ACK 33#1] 1396  >  53 [ACK] Seq=5 Ack=1301 Win=16124 Len=0,0
35,30.783984,192.168.1.3,192.168.1.2,TCP,60,"1396  >  53 [PSH, ACK] Seq=5 Ack=1301 Win=16124 Len=5 [TCP segment of a reassembled PDU]",1
36,30.800477,192.168.1.3,192.168.1.2,TCP,99,"[TCP Retransmission] 1396  >  53 [PSH, ACK] Seq=5 Ack=1301 Win=16124 Len=5 [TCP segment of a reassembled PDU]",1
37,30.80447,192.168.1.2,192.168.1.3,TCP,94,"53  >  1396 [RST, ACK] Seq=1301 Ack=10 Win=0 Len=0",1
38,30.805401,192.168.1.2,192.168.1.3,TCP,54,"53  >  1396 [RST, ACK] Seq=1301 Ack=10 Win=0 Len=0",1
39,48.475089,192.168.1.3,192.168.1.2,TCP,62,1399  >  21 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM,1
40,48.49139,192.168.1.3,192.168.1.2,TCP,102,[TCP Retransmission] 1399  >  21 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM,1
41,48.492654,192.168.1.2,192.168.1.3,TCP,94,"21  >  1399 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",1
42,48.493552,192.168.1.2,192.168.1.3,TCP,54,"21  >  1399 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",1
43,48.931741,192.168.1.3,192.168.1.2,TCP,62,[TCP Port numbers reused] 1399  >  21 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM,1
44,48.936548,192.168.1.3,192.168.1.2,TCP,102,[TCP Retransmission] 1399  >  21 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM,1
45,48.937806,192.168.1.2,192.168.1.3,TCP,94,"21  >  1399 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",1
46,48.938633,192.168.1.2,192.168.1.3,TCP,54,"21  >  1399 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",1
47,48.951858,205.227.136.203,192.168.1.2,SSLv3,240,"Server Hello, Change Cipher Spec, Encrypted Handshake Message",0
48,48.954252,192.168.1.2,205.227.136.203,SSLv3,161,"Change Cipher Spec, Encrypted Handshake Message",0
49,48.956419,192.168.1.2,205.227.136.203,SSLv3,768,Application Data,0
50,49.43247,192.168.1.3,192.168.1.2,TCP,62,[TCP Port numbers reused] 1399  >  21 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM,1
51,49.448666,192.168.1.3,192.168.1.2,TCP,102,[TCP Retransmission] 1399  >  21 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM,1
52,49.449696,192.168.1.2,192.168.1.3,TCP,94,"21  >  1399 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",1
53,49.450614,192.168.1.2,192.168.1.3,TCP,54,"21  >  1399 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",1
54,53.68591,192.168.1.3,192.168.1.2,TCP,62,1402  >  21 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM,1
55,53.702523,192.168.1.3,192.168.1.2,TCP,102,[TCP Retransmission] 1402  >  21 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM,1
56,53.704323,192.168.1.2,192.168.1.3,TCP,94,"21  >  1402 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",1
57,53.705233,192.168.1.2,192.168.1.3,TCP,54,"21  >  1402 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",1
58,54.139245,192.168.1.3,192.168.1.2,TCP,62,[TCP Port numbers reused] 1402  >  21 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM,1
59,54.155922,192.168.1.3,192.168.1.2,TCP,102,[TCP Retransmission] 1402  >  21 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM,1
60,54.157324,192.168.1.2,192.168.1.3,TCP,94,"21  >  1402 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",1
61,54.158217,192.168.1.2,192.168.1.3,TCP,54,"21  >  1402 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",1
62,54.640057,192.168.1.3,192.168.1.2,TCP,62,[TCP Port numbers reused] 1402  >  21 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM,1
63,54.656688,192.168.1.3,192.168.1.2,TCP,102,[TCP Retransmission] 1402  >  21 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM,1
64,54.658275,192.168.1.2,192.168.1.3,TCP,94,"21  >  1402 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",1
65,54.659211,192.168.1.2,192.168.1.3,TCP,54,"21  >  1402 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",1
66,73.102744,192.168.1.2,83.170.75.178,TCP,94,1108  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=0,0
67,73.104528,83.170.75.178,192.168.1.2,TCP,1546,80  >  1108 [ACK] Seq=1 Ack=1 Win=65535 Len=1452,0
68,73.10773,83.170.75.178,192.168.1.2,TCP,1546,80  >  1108 [ACK] Seq=1453 Ack=1 Win=65535 Len=1452,0
69,73.11077,192.168.1.2,83.170.75.178,TCP,94,1108  >  80 [ACK] Seq=1 Ack=2905 Win=65535 Len=0,0
70,73.118801,83.170.75.178,192.168.1.2,TCP,110,"80  >  1108 [PSH, ACK] Seq=2905 Ack=1 Win=65535 Len=16 [TCP segment of a reassembled PDU]",1
71,73.147503,192.168.1.2,83.170.75.178,TCP,106,1110  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1452 WS=4 SACK_PERM,0
72,73.155525,83.170.75.178,192.168.1.2,TCP,98,"80  >  1110 [SYN, ACK] Seq=0 Ack=1 Win=8190 Len=0 MSS=1452",0
73,73.156784,192.168.1.2,83.170.75.178,TCP,94,1110  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=0,0
74,73.158328,192.168.1.2,83.170.75.178,HTTP,486,GET /images/empty.gif HTTP/1.1 ,0
75,73.176865,83.170.75.178,192.168.1.2,HTTP,415,HTTP/1.1 304 Not Modified ,0
76,75.776641,192.168.1.3,192.168.1.2,TCP,62,1403  >  23 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM,1
77,75.793185,192.168.1.3,192.168.1.2,TCP,102,[TCP Retransmission] 1403  >  23 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM,1
78,75.794613,192.168.1.2,192.168.1.3,TCP,102,"23  >  1403 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1452 SACK_PERM",0
79,75.795348,192.168.1.2,192.168.1.3,TCP,102,"[TCP Retransmission] 23  >  1403 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1452 SACK_PERM",0
80,75.796306,192.168.1.3,192.168.1.2,TCP,60,1403  >  23 [ACK] Seq=1 Ack=1 Win=17424 Len=0,0
81,75.796334,192.168.1.2,192.168.1.3,TCP,62,"[TCP Out-Of-Order] 23  >  1403 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1452 SACK_PERM",0
82,75.797487,192.168.1.3,192.168.1.2,TCP,94,[TCP Dup ACK 80#1] 1403  >  23 [ACK] Seq=1 Ack=1 Win=17424 Len=0,0
83,75.853847,192.168.1.2,192.168.1.3,TELNET,182,Telnet Data ...,1
84,75.854916,192.168.1.2,192.168.1.3,TCP,142,"[TCP Retransmission] 23  >  1403 [PSH, ACK] Seq=1 Ack=1 Win=65535 Len=88",0
85,75.970623,192.168.1.3,192.168.1.2,TCP,60,1403  >  23 [ACK] Seq=1 Ack=89 Win=17336 Len=0,0
86,75.971875,192.168.1.3,192.168.1.2,TCP,94,[TCP Dup ACK 85#1] 1403  >  23 [ACK] Seq=1 Ack=89 Win=17336 Len=0,0
87,77.334968,192.168.1.3,192.168.1.2,TELNET,60,Telnet Data ...,1
88,77.351319,192.168.1.3,192.168.1.2,TCP,98,"[TCP Retransmission] 1403  >  23 [PSH, ACK] Seq=1 Ack=89 Win=17336 Len=4",0
89,77.368651,192.168.1.2,192.168.1.3,TELNET,295,Telnet Data ...,1
90,77.369965,192.168.1.2,192.168.1.3,TCP,255,"[TCP Retransmission] 23  >  1403 [PSH, ACK] Seq=89 Ack=5 Win=65531 Len=201",0
91,77.47279,192.168.1.3,192.168.1.2,TCP,60,1403  >  23 [ACK] Seq=5 Ack=290 Win=17135 Len=0,0
92,77.489498,192.168.1.3,192.168.1.2,TCP,94,[TCP Dup ACK 91#1] 1403  >  23 [ACK] Seq=5 Ack=290 Win=17135 Len=0,0
93,77.493408,192.168.1.2,192.168.1.3,TELNET,1105,Telnet Data ...,1
94,77.496278,192.168.1.2,192.168.1.3,TCP,1065,"[TCP Retransmission] 23  >  1403 [PSH, ACK] Seq=290 Ack=5 Win=65531 Len=1011",0
95,77.673174,192.168.1.3,192.168.1.2,TCP,60,1403  >  23 [ACK] Seq=5 Ack=1301 Win=16124 Len=0,0
96,77.689407,192.168.1.3,192.168.1.2,TCP,94,[TCP Dup ACK 95#1] 1403  >  23 [ACK] Seq=5 Ack=1301 Win=16124 Len=0,0
97,79.024691,192.168.1.3,192.168.1.2,TELNET,61,Telnet Data ...,1
98,79.041217,192.168.1.3,192.168.1.2,TCP,101,"[TCP Retransmission] 1403  >  23 [PSH, ACK] Seq=5 Ack=1301 Win=16124 Len=7",0
99,79.092111,192.168.1.2,192.168.1.3,TELNET,201,Telnet Data ...,1
100,79.093207,192.168.1.2,192.168.1.3,TCP,161,"[TCP Retransmission] 23  >  1403 [PSH, ACK] Seq=1301 Ack=12 Win=65524 Len=107",0
101,79.275397,192.168.1.3,192.168.1.2,TCP,60,1403  >  23 [ACK] Seq=12 Ack=1408 Win=16017 Len=0,0
102,79.291787,192.168.1.3,192.168.1.2,TCP,94,[TCP Dup ACK 101#1] 1403  >  23 [ACK] Seq=12 Ack=1408 Win=16017 Len=0,0
103,85.547606,192.168.1.3,192.168.1.2,TELNET,60,Telnet Data ...,1
104,85.563833,192.168.1.3,192.168.1.2,TCP,99,"[TCP Retransmission] 1403  >  23 [PSH, ACK] Seq=12 Ack=1408 Win=16017 Len=5",0
105,85.56797,192.168.1.2,192.168.1.3,TELNET,100,Telnet Data ...,1
106,85.568925,192.168.1.2,192.168.1.3,TCP,60,"[TCP Retransmission] 23  >  1403 [PSH, ACK] Seq=1408 Ack=17 Win=65519 Len=6",0
107,85.56923,192.168.1.2,192.168.1.3,TCP,94,"23  >  1403 [RST, ACK] Seq=1414 Ack=17 Win=0 Len=0",1
108,85.570124,192.168.1.2,192.168.1.3,TCP,54,"23  >  1403 [RST, ACK] Seq=1414 Ack=17 Win=0 Len=0",1
109,96.444032,192.168.1.3,192.168.1.2,TCP,62,1404  >  80 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM,0
110,96.450821,192.168.1.3,192.168.1.2,TCP,102,[TCP Retransmission] 1404  >  80 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM,0
111,96.452043,192.168.1.2,192.168.1.3,TCP,102,"80  >  1404 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1452 SACK_PERM",0
112,96.452928,192.168.1.3,192.168.1.2,TCP,60,1404  >  80 [ACK] Seq=1 Ack=1 Win=17424 Len=0,0
113,96.452949,192.168.1.2,192.168.1.3,TCP,62,"[TCP Out-Of-Order] 80  >  1404 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1452 SACK_PERM",0
114,96.454159,192.168.1.3,192.168.1.2,TCP,94,[TCP Dup ACK 112#1] 1404  >  80 [ACK] Seq=1 Ack=1 Win=17424 Len=0,0
115,96.510765,192.168.1.2,192.168.1.3,TCP,182,"80  >  1404 [PSH, ACK] Seq=1 Ack=1 Win=65535 Len=88",0
116,96.51184,192.168.1.2,192.168.1.3,TCP,142,"[TCP Retransmission] 80  >  1404 [PSH, ACK] Seq=1 Ack=1 Win=65535 Len=88",0
117,96.700546,192.168.1.3,192.168.1.2,TCP,60,1404  >  80 [ACK] Seq=1 Ack=89 Win=17336 Len=0,0
118,96.716961,192.168.1.3,192.168.1.2,TCP,94,[TCP Dup ACK 117#1] 1404  >  80 [ACK] Seq=1 Ack=89 Win=17336 Len=0,0
119,97.963526,192.168.1.3,192.168.1.2,TCP,60,"1404  >  80 [PSH, ACK] Seq=1 Ack=89 Win=17336 Len=4",0
120,97.979807,192.168.1.3,192.168.1.2,TCP,98,"[TCP Retransmission] 1404  >  80 [PSH, ACK] Seq=1 Ack=89 Win=17336 Len=4",0
121,98.032313,192.168.1.2,192.168.1.3,TCP,295,"80  >  1404 [PSH, ACK] Seq=89 Ack=5 Win=65531 Len=201",0
122,98.033591,192.168.1.2,192.168.1.3,TCP,255,"[TCP Retransmission] 80  >  1404 [PSH, ACK] Seq=89 Ack=5 Win=65531 Len=201",0
123,98.202606,192.168.1.3,192.168.1.2,TCP,60,1404  >  80 [ACK] Seq=5 Ack=290 Win=17135 Len=0,0
124,98.222672,192.168.1.2,192.168.1.3,TCP,1105,"80  >  1404 [PSH, ACK] Seq=290 Ack=5 Win=65531 Len=1011",0
125,98.225395,192.168.1.2,192.168.1.3,TCP,1065,"[TCP Retransmission] 80  >  1404 [PSH, ACK] Seq=290 Ack=5 Win=65531 Len=1011",0
126,98.402873,192.168.1.3,192.168.1.2,TCP,60,1404  >  80 [ACK] Seq=5 Ack=1301 Win=16124 Len=0,0
127,98.420861,192.168.1.3,192.168.1.2,TCP,94,[TCP Dup ACK 126#1] 1404  >  80 [ACK] Seq=5 Ack=1301 Win=16124 Len=0,0
128,99.714606,192.168.1.3,192.168.1.2,TCP,60,"1404  >  80 [PSH, ACK] Seq=5 Ack=1301 Win=16124 Len=5",0
129,99.72804,192.168.1.3,192.168.1.2,TCP,99,"[TCP Retransmission] 1404  >  80 [PSH, ACK] Seq=5 Ack=1301 Win=16124 Len=5",0
130,99.731847,192.168.1.2,192.168.1.3,TCP,94,"80  >  1404 [RST, ACK] Seq=1301 Ack=10 Win=0 Len=0",1
131,99.732729,192.168.1.2,192.168.1.3,TCP,54,"80  >  1404 [RST, ACK] Seq=1301 Ack=10 Win=0 Len=0",1
1,0.0,192.168.199.1,192.168.199.255,BROWSER,227,Become Backup Browser,0
2,1.720331,fe80::78da:c04d:12da:8a08,ff02::1:2,DHCPv6,145,Solicit XID: 0xca8e45 CID: 0001000118659849b888e3ab8379 ,0
3,2.718767,fe80::78da:c04d:12da:8a08,ff02::1:2,DHCPv6,145,Solicit XID: 0xca8e45 CID: 0001000118659849b888e3ab8379 ,0
4,3.71882,fe80::78da:c04d:12da:8a08,ff02::1:2,DHCPv6,145,Solicit XID: 0xca8e45 CID: 0001000118659849b888e3ab8379 ,0
5,5.719073,fe80::78da:c04d:12da:8a08,ff02::1:2,DHCPv6,145,Solicit XID: 0xca8e45 CID: 0001000118659849b888e3ab8379 ,0
6,9.719499,fe80::78da:c04d:12da:8a08,ff02::1:2,DHCPv6,145,Solicit XID: 0xca8e45 CID: 0001000118659849b888e3ab8379 ,0
7,17.719728,fe80::78da:c04d:12da:8a08,ff02::1:2,DHCPv6,145,Solicit XID: 0xca8e45 CID: 0001000118659849b888e3ab8379 ,0
8,18.293727,::,ff02::1:ffd1:9199,ICMPv6,78,Neighbor Solicitation for fe80::65b5:3a97:92d1:9199,0
9,18.293801,fe80::65b5:3a97:92d1:9199,ff02::2,ICMPv6,62,Router Solicitation,0
10,18.293857,fe80::65b5:3a97:92d1:9199,ff02::16,ICMPv6,90,Multicast Listener Report Message v2,0
11,18.789733,fe80::65b5:3a97:92d1:9199,ff02::16,ICMPv6,90,Multicast Listener Report Message v2,0
12,19.290128,fe80::65b5:3a97:92d1:9199,ff02::1,ICMPv6,86,Neighbor Advertisement fe80::65b5:3a97:92d1:9199 (ovr) is at 00:0c:29:61:f5:5f,0
13,22.290186,fe80::65b5:3a97:92d1:9199,ff02::2,ICMPv6,70,Router Solicitation from 00:0c:29:61:f5:5f,0
14,24.790066,VMware_61:f5:5f,Broadcast,ARP,42,Who has 169.254.145.153? (ARP Probe),1
15,25.790144,VMware_61:f5:5f,Broadcast,ARP,42,Who has 169.254.145.153? (ARP Probe),1
16,26.290306,fe80::65b5:3a97:92d1:9199,ff02::2,ICMPv6,70,Router Solicitation from 00:0c:29:61:f5:5f,0
17,26.790117,VMware_61:f5:5f,Broadcast,ARP,42,Who has 169.254.145.153? (ARP Probe),1
18,27.790127,VMware_61:f5:5f,Broadcast,ARP,42,ARP Announcement for 169.254.145.153,0
19,33.72216,fe80::78da:c04d:12da:8a08,ff02::1:2,DHCPv6,145,Solicit XID: 0xca8e45 CID: 0001000118659849b888e3ab8379 ,0
20,43.317391,192.168.199.1,192.168.199.255,BROWSER,227,Become Backup Browser,0
21,52.021523,0.0.0.0,255.255.255.255,DHCP,363,DHCP Request  - Transaction ID 0x4fbbfa9a,0
22,52.021657,192.168.199.254,192.168.199.133,DHCP,342,DHCP ACK      - Transaction ID 0x4fbbfa9a,0
23,52.195516,fe80::65b5:3a97:92d1:9199,ff02::1:2,DHCPv6,157,Solicit XID: 0xe84bb6 CID: 000100011f0c78b5000c2961f55f ,0
24,52.248616,fe80::65b5:3a97:92d1:9199,ff02::1:2,DHCPv6,157,Solicit XID: 0x98cc21 CID: 000100011f0c78b5000c2961f55f ,0
25,52.262022,192.168.199.133,192.168.199.255,NBNS,110,Registration NB DESKTOP-V1FA0UQ<00>,0
26,52.262375,192.168.199.133,192.168.199.255,NBNS,110,Registration NB WORKGROUP<00>,0
27,52.29029,VMware_61:f5:5f,Broadcast,ARP,42,Who has 192.168.199.133? (ARP Probe),1
28,52.290367,::,ff02::1:ffd1:9199,ICMPv6,78,Neighbor Solicitation for fe80::65b5:3a97:92d1:9199,0
29,52.290414,fe80::65b5:3a97:92d1:9199,ff02::2,ICMPv6,62,Router Solicitation,0
30,52.290469,fe80::65b5:3a97:92d1:9199,ff02::16,ICMPv6,90,Multicast Listener Report Message v2,0
31,52.523331,fe80::65b5:3a97:92d1:9199,ff02::16,ICMPv6,90,Multicast Listener Report Message v2,0
32,52.52572,192.168.199.133,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.251 for any sources,0
33,52.791241,192.168.199.133,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.251 for any sources,0
34,52.7914,fe80::65b5:3a97:92d1:9199,ff02::16,ICMPv6,110,Multicast Listener Report Message v2,0
35,52.952099,fe80::65b5:3a97:92d1:9199,ff02::16,ICMPv6,90,Multicast Listener Report Message v2,0
36,52.953832,192.168.199.133,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources,0
37,53.008814,192.168.199.133,192.168.199.255,NBNS,110,Registration NB DESKTOP-V1FA0UQ<00>,0
38,53.009095,192.168.199.133,192.168.199.255,NBNS,110,Registration NB WORKGROUP<00>,0
39,53.11789,0.0.0.0,255.255.255.255,DHCP,363,DHCP Request  - Transaction ID 0x53cafc35,0
40,53.117998,192.168.199.254,192.168.199.133,DHCP,342,DHCP ACK      - Transaction ID 0x53cafc35,0
41,53.214359,fe80::65b5:3a97:92d1:9199,ff02::1:3,LLMNR,95,Standard query 0x58c4 ANY DESKTOP-V1FA0UQ,0
42,53.214614,192.168.199.133,224.0.0.252,LLMNR,75,Standard query 0x58c4 ANY DESKTOP-V1FA0UQ,0
43,53.245458,fe80::65b5:3a97:92d1:9199,ff02::1:2,DHCPv6,157,Solicit XID: 0x98cc21 CID: 000100011f0c78b5000c2961f55f ,0
44,53.289948,VMware_61:f5:5f,Broadcast,ARP,42,Who has 192.168.199.133? (ARP Probe),1
45,53.290018,192.168.199.133,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources,0
46,53.290091,fe80::65b5:3a97:92d1:9199,ff02::1,ICMPv6,86,Neighbor Advertisement fe80::65b5:3a97:92d1:9199 (ovr) is at 00:0c:29:61:f5:5f,0
47,53.290182,fe80::65b5:3a97:92d1:9199,ff02::16,ICMPv6,90,Multicast Listener Report Message v2,0
48,53.545367,VMware_61:f5:5f,Broadcast,ARP,42,Who has 192.168.199.1? Tell 192.168.199.133,1
49,53.545385,VMware_c0:00:01,VMware_61:f5:5f,ARP,42,192.168.199.1 is at 00:50:56:c0:00:01,0
50,53.545461,192.168.199.133,192.168.199.1,DNS,76,Standard query 0xe38a A wpad.localdomain,0
51,53.653744,fe80::65b5:3a97:92d1:9199,ff02::1:3,LLMNR,95,Standard query 0x58c4 ANY DESKTOP-V1FA0UQ,0
52,53.655031,192.168.199.133,224.0.0.252,LLMNR,75,Standard query 0x58c4 ANY DESKTOP-V1FA0UQ,0
53,53.758725,192.168.199.133,192.168.199.255,NBNS,110,Registration NB WORKGROUP<00>,0
54,53.758838,192.168.199.133,192.168.199.255,NBNS,110,Registration NB DESKTOP-V1FA0UQ<00>,0
55,54.074936,fe80::65b5:3a97:92d1:9199,ff02::16,ICMPv6,90,Multicast Listener Report Message v2,0
56,54.075096,192.168.199.133,224.0.0.22,IGMPv3,54,Membership Report / Leave group 224.0.0.252,0
57,54.07531,fe80::65b5:3a97:92d1:9199,ff02::16,ICMPv6,90,Multicast Listener Report Message v2,0
58,54.075934,192.168.199.133,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources,0
59,54.076956,fe80::65b5:3a97:92d1:9199,ff02::1:3,LLMNR,95,Standard query 0x5a2c ANY DESKTOP-V1FA0UQ,0
60,54.077128,192.168.199.133,224.0.0.252,LLMNR,75,Standard query 0x5a2c ANY DESKTOP-V1FA0UQ,0
61,54.281278,fe80::65b5:3a97:92d1:9199,ff02::1:2,DHCPv6,157,Solicit XID: 0x98cc21 CID: 000100011f0c78b5000c2961f55f ,0
62,54.28982,VMware_61:f5:5f,Broadcast,ARP,42,Who has 192.168.199.133? (ARP Probe),1
63,54.289891,192.168.199.133,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources,0
64,54.28995,fe80::65b5:3a97:92d1:9199,ff02::16,ICMPv6,90,Multicast Listener Report Message v2,0
65,54.490353,192.168.199.133,192.168.199.255,NBNS,110,Registration NB DESKTOP-V1FA0UQ<20>,0
66,54.500597,fe80::65b5:3a97:92d1:9199,ff02::1:3,LLMNR,95,Standard query 0x5a2c ANY DESKTOP-V1FA0UQ,0
67,54.5014,192.168.199.133,224.0.0.252,LLMNR,75,Standard query 0x5a2c ANY DESKTOP-V1FA0UQ,0
68,54.524439,192.168.199.133,192.168.199.255,NBNS,110,Registration NB DESKTOP-V1FA0UQ<00>,0
69,54.524572,192.168.199.133,192.168.199.255,NBNS,110,Registration NB WORKGROUP<00>,0
70,54.592022,192.168.199.133,192.168.199.1,DNS,76,Standard query 0xe38a A wpad.localdomain,0
